chip,edge_density,rank
chip_202_388_merged.tif,0.236567,69
chip_142_427_merged.tif,0.236169,70
chip_204_506_merged.tif,0.235790,71
chip_055_202_merged.tif,0.235551,72
chip_142_497_merged.tif,0.235471,73
chip_139_390_merged.tif,0.235172,74
chip_138_474_merged.tif,0.235073,75
chip_185_408_merged.tif,0.235033,76
chip_180_460_merged.tif,0.234754,77
chip_217_425_merged.tif,0.234754,78
chip_151_489_merged.tif,0.234375,79
chip_257_445_merged.tif,0.234355,80
chip_248_445_merged.tif,0.234076,81
chip_324_316_merged.tif,0.234076,82
chip_174_360_merged.tif,0.233837,83
chip_105_103_merged.tif,0.233817,84
chip_125_445_merged.tif,0.233817,85
chip_246_444_merged.tif,0.233777,86
chip_166_587_merged.tif,0.233717,87
chip_182_579_merged.tif,0.233658,88
chip_138_495_merged.tif,0.233578,89
chip_094_329_merged.tif,0.233279,90
chip_151_592_merged.tif,0.232860,91
chip_396_322_merged.tif,0.231944,92
chip_135_472_merged.tif,0.231844,93
chip_147_440_merged.tif,0.231804,94
chip_194_385_merged.tif,0.231366,95
chip_165_520_merged.tif,0.231346,96
chip_220_257_merged.tif,0.231286,97
chip_057_118_merged.tif,0.231166,98
chip_116_447_merged.tif,0.231027,99
chip_165_524_merged.tif,0.231027,100
chip_179_506_merged.tif,0.230967,101
chip_131_429_merged.tif,0.230708,102
chip_010_063_merged.tif,0.230668,103
chip_191_403_merged.tif,0.230588,104
chip_135_434_merged.tif,0.230170,105
chip_164_475_merged.tif,0.230130,106
chip_139_491_merged.tif,0.229672,107
chip_093_355_merged.tif,0.229652,108
chip_157_480_merged.tif,0.229373,109
chip_163_537_merged.tif,0.229213,110
chip_060_117_merged.tif,0.229094,111
chip_197_366_merged.tif,0.229034,112
chip_131_445_merged.tif,0.228835,113
chip_148_478_merged.tif,0.228296,114
chip_183_520_merged.tif,0.228057,115
chip_185_399_merged.tif,0.228057,116
chip_246_583_merged.tif,0.227858,117
chip_138_494_merged.tif,0.227679,118
chip_141_491_merged.tif,0.227679,119
chip_243_452_merged.tif,0.227639,120
chip_152_490_merged.tif,0.227439,121
chip_139_488_merged.tif,0.227400,122
chip_124_441_merged.tif,0.227081,123
chip_107_410_merged.tif,0.226921,124
chip_421_329_merged.tif,0.226722,125
chip_148_469_merged.tif,0.226303,126
chip_136_495_merged.tif,0.226164,127
chip_115_438_merged.tif,0.225925,128
chip_159_406_merged.tif,0.225566,129
chip_152_404_merged.tif,0.225187,130
chip_106_413_merged.tif,0.225147,131
chip_116_208_merged.tif,0.225108,132
chip_159_403_merged.tif,0.224908,133
chip_207_424_merged.tif,0.224888,134
chip_032_111_merged.tif,0.224410,135
chip_166_524_merged.tif,0.224370,136
chip_067_282_merged.tif,0.223992,137
chip_151_418_merged.tif,0.223972,138
chip_163_519_merged.tif,0.223772,139
chip_142_498_merged.tif,0.223693,140
chip_110_340_merged.tif,0.223473,141
chip_193_583_merged.tif,0.223394,142
chip_210_466_merged.tif,0.223374,143
chip_177_428_merged.tif,0.223314,144
chip_230_458_merged.tif,0.223154,145
chip_101_342_merged.tif,0.222736,146
chip_266_434_merged.tif,0.222616,147
chip_241_475_merged.tif,0.222198,148
chip_108_401_merged.tif,0.221939,149
chip_172_154_merged.tif,0.221779,150
chip_079_220_merged.tif,0.221381,151
chip_223_483_merged.tif,0.221122,152
chip_065_348_merged.tif,0.221022,153
chip_298_351_merged.tif,0.220863,154
chip_064_354_merged.tif,0.220843,155
chip_147_489_merged.tif,0.220803,156
chip_354_327_merged.tif,0.220723,157
chip_107_106_merged.tif,0.220663,158
chip_171_586_merged.tif,0.220564,159
chip_200_415_merged.tif,0.220404,160
chip_143_489_merged.tif,0.220344,161
chip_047_106_merged.tif,0.220205,162
chip_151_604_merged.tif,0.220205,163
chip_211_435_merged.tif,0.219966,164
chip_321_314_merged.tif,0.219966,165
chip_116_448_merged.tif,0.219647,166
chip_133_473_merged.tif,0.219627,167
chip_111_595_merged.tif,0.219587,168
chip_114_441_merged.tif,0.219507,169
chip_185_368_merged.tif,0.219388,170
chip_181_413_merged.tif,0.219368,171
chip_171_346_merged.tif,0.219348,172
chip_131_477_merged.tif,0.219248,173
chip_144_496_merged.tif,0.219109,174
chip_182_606_merged.tif,0.218810,175
chip_106_288_merged.tif,0.218591,176
chip_173_586_merged.tif,0.218551,177
chip_154_484_merged.tif,0.218252,178
chip_365_309_merged.tif,0.217993,179
chip_264_583_merged.tif,0.217933,180
chip_325_316_merged.tif,0.217514,181
chip_136_435_merged.tif,0.217275,182
chip_174_408_merged.tif,0.217215,183
chip_213_391_merged.tif,0.216996,184
chip_270_477_merged.tif,0.216916,185
chip_124_479_merged.tif,0.216837,186
chip_238_458_merged.tif,0.216677,187
chip_330_499_merged.tif,0.216458,188
chip_097_328_merged.tif,0.215900,189
chip_133_303_merged.tif,0.215880,190
chip_169_407_merged.tif,0.215820,191
chip_123_560_merged.tif,0.215761,192
chip_152_433_merged.tif,0.215721,193
chip_107_334_merged.tif,0.215601,194
chip_115_478_merged.tif,0.215382,195
chip_236_450_merged.tif,0.215282,196
chip_165_403_merged.tif,0.215103,197
chip_134_364_merged.tif,0.214884,198
chip_146_489_merged.tif,0.214625,199
chip_244_446_merged.tif,0.214306,200
chip_109_334_merged.tif,0.214166,201
chip_151_248_merged.tif,0.214166,202
chip_093_213_merged.tif,0.214027,203
chip_116_346_merged.tif,0.213628,204
chip_230_490_merged.tif,0.213568,205
chip_100_341_merged.tif,0.213409,206
chip_147_479_merged.tif,0.213309,207
chip_317_529_merged.tif,0.213249,208
chip_341_499_merged.tif,0.213229,209
chip_092_214_merged.tif,0.213170,210
chip_225_357_merged.tif,0.212970,211
chip_273_474_merged.tif,0.212871,212
chip_128_506_merged.tif,0.212691,213
chip_097_316_merged.tif,0.212552,214
chip_136_485_merged.tif,0.212492,215
chip_139_473_merged.tif,0.212333,216
chip_146_495_merged.tif,0.211834,217
chip_093_331_merged.tif,0.211675,218
chip_234_445_merged.tif,0.211117,219
chip_087_268_merged.tif,0.210559,220
chip_151_484_merged.tif,0.210419,221
chip_109_424_merged.tif,0.210379,222
chip_166_411_merged.tif,0.210240,223
chip_281_402_merged.tif,0.210220,224
chip_117_438_merged.tif,0.209921,225
chip_198_027_merged.tif,0.209782,226
chip_064_120_merged.tif,0.209622,227
chip_221_316_merged.tif,0.209582,228
chip_202_367_merged.tif,0.209423,229
chip_239_336_merged.tif,0.209383,230
chip_318_539_merged.tif,0.209204,231
chip_248_589_merged.tif,0.209124,232
chip_125_503_merged.tif,0.208984,233
chip_283_431_merged.tif,0.208925,234
chip_181_353_merged.tif,0.208845,235
chip_082_339_merged.tif,0.208606,236
chip_167_437_merged.tif,0.208526,237
chip_060_083_merged.tif,0.208466,238
chip_214_429_merged.tif,0.208426,239
chip_163_371_merged.tif,0.208307,240
chip_243_589_merged.tif,0.208287,241
chip_135_494_merged.tif,0.207828,242
chip_322_417_merged.tif,0.207171,243
chip_236_367_merged.tif,0.207091,244
chip_224_326_merged.tif,0.206772,245
chip_104_334_merged.tif,0.206413,246
chip_317_528_merged.tif,0.206214,247
chip_162_406_merged.tif,0.206075,248
chip_148_413_merged.tif,0.206015,249
chip_121_466_merged.tif,0.205696,250
chip_145_156_merged.tif,0.204959,251
chip_250_589_merged.tif,0.204879,252
chip_167_340_merged.tif,0.204341,253
chip_329_493_merged.tif,0.204321,254
chip_270_475_merged.tif,0.204261,255
chip_250_585_merged.tif,0.204161,256
chip_051_235_merged.tif,0.203922,257
chip_200_441_merged.tif,0.203563,258
chip_141_484_merged.tif,0.203544,259
chip_146_494_merged.tif,0.203464,260
chip_333_515_merged.tif,0.203384,261
chip_225_371_merged.tif,0.203105,262
chip_357_370_merged.tif,0.203105,263
chip_175_432_merged.tif,0.203065,264
chip_219_603_merged.tif,0.203065,265
chip_248_585_merged.tif,0.202985,266
chip_186_488_merged.tif,0.202966,267
chip_148_483_merged.tif,0.202946,268
chip_341_534_merged.tif,0.202766,269
chip_253_587_merged.tif,0.202587,270
chip_089_360_merged.tif,0.202567,271
chip_141_475_merged.tif,0.202268,272
chip_292_552_merged.tif,0.202268,273
chip_373_294_merged.tif,0.202168,274
chip_218_437_merged.tif,0.202029,275
chip_314_342_merged.tif,0.202009,276
chip_240_588_merged.tif,0.201690,277
chip_140_470_merged.tif,0.201511,278
chip_269_420_merged.tif,0.201431,279
chip_214_329_merged.tif,0.201351,280
chip_037_102_merged.tif,0.201112,281
chip_087_335_merged.tif,0.201072,282
chip_193_311_merged.tif,0.201052,283
chip_205_329_merged.tif,0.200813,284
chip_122_507_merged.tif,0.200793,285
chip_105_104_merged.tif,0.200773,286
chip_152_479_merged.tif,0.200614,287
chip_267_566_merged.tif,0.200594,288
chip_104_333_merged.tif,0.200574,289
chip_124_433_merged.tif,0.200554,290
chip_125_124_merged.tif,0.200395,291
chip_126_357_merged.tif,0.200395,292
chip_216_454_merged.tif,0.200355,293
chip_131_472_merged.tif,0.200175,294
chip_291_134_merged.tif,0.200136,295
chip_123_507_merged.tif,0.200056,296
chip_085_592_merged.tif,0.199697,297
chip_194_329_merged.tif,0.199657,298
chip_155_483_merged.tif,0.199458,299
chip_153_469_merged.tif,0.199378,300
chip_234_591_merged.tif,0.199039,301
chip_099_310_merged.tif,0.198800,302
chip_312_433_merged.tif,0.198740,303
chip_210_444_merged.tif,0.198641,304
chip_236_595_merged.tif,0.198322,305
chip_091_336_merged.tif,0.198143,306
chip_107_105_merged.tif,0.198143,307
chip_179_603_merged.tif,0.197943,308
chip_310_469_merged.tif,0.197604,309
chip_219_333_merged.tif,0.197385,310
chip_244_594_merged.tif,0.197345,311
chip_123_434_merged.tif,0.197186,312
chip_246_592_merged.tif,0.196927,313
chip_171_431_merged.tif,0.196807,314
chip_125_436_merged.tif,0.196787,315
chip_207_334_merged.tif,0.196628,316
chip_145_372_merged.tif,0.196568,317
chip_129_311_merged.tif,0.196508,318
chip_331_495_merged.tif,0.196429,319
chip_220_333_merged.tif,0.196269,320
chip_155_475_merged.tif,0.196110,321
chip_351_539_merged.tif,0.195890,322
chip_105_452_merged.tif,0.195791,323
chip_176_027_merged.tif,0.195731,324
chip_202_439_merged.tif,0.195572,325
chip_254_443_merged.tif,0.195552,326
chip_146_340_merged.tif,0.195472,327
chip_311_469_merged.tif,0.195432,328
chip_137_275_merged.tif,0.195113,329
chip_224_440_merged.tif,0.194954,330
chip_268_269_merged.tif,0.194894,331
chip_136_276_merged.tif,0.194754,332
chip_245_593_merged.tif,0.194695,333
chip_327_516_merged.tif,0.194555,334
chip_181_605_merged.tif,0.194535,335
chip_155_474_merged.tif,0.194436,336
chip_370_348_merged.tif,0.194097,337
chip_236_600_merged.tif,0.193818,338
chip_147_486_merged.tif,0.193459,339
chip_194_433_merged.tif,0.193320,340
chip_151_240_merged.tif,0.193140,341
chip_253_595_merged.tif,0.193140,342
chip_233_332_merged.tif,0.192901,343
chip_319_529_merged.tif,0.192801,344
chip_194_261_merged.tif,0.191964,345
chip_124_123_merged.tif,0.191705,346
chip_128_478_merged.tif,0.191366,347
chip_091_253_merged.tif,0.191167,348
chip_155_479_merged.tif,0.191107,349
chip_181_606_merged.tif,0.191008,350
chip_113_329_merged.tif,0.190768,351
chip_178_497_merged.tif,0.190729,352
chip_120_559_merged.tif,0.190709,353
chip_144_472_merged.tif,0.190629,354
chip_233_331_merged.tif,0.190629,355
chip_213_456_merged.tif,0.190390,356
chip_201_457_merged.tif,0.190310,357
chip_260_484_merged.tif,0.190111,358
chip_327_511_merged.tif,0.190111,359
chip_081_345_merged.tif,0.189931,360
chip_270_408_merged.tif,0.189533,361
chip_232_372_merged.tif,0.189513,362
chip_318_344_merged.tif,0.189194,363
chip_296_540_merged.tif,0.188516,364
chip_257_483_merged.tif,0.188397,365
chip_231_331_merged.tif,0.188357,366
chip_332_499_merged.tif,0.187938,367
chip_308_293_merged.tif,0.187719,368
chip_329_512_merged.tif,0.187560,369
chip_280_560_merged.tif,0.187460,370
chip_308_517_merged.tif,0.187042,371
chip_194_315_merged.tif,0.186902,372
chip_333_509_merged.tif,0.186723,373
chip_252_446_merged.tif,0.186623,374
chip_183_606_merged.tif,0.186583,375
chip_272_450_merged.tif,0.185746,376
chip_237_335_merged.tif,0.185666,377
chip_222_369_merged.tif,0.184869,378
chip_185_305_merged.tif,0.184530,379
chip_181_264_merged.tif,0.184072,380
chip_222_314_merged.tif,0.183893,381
chip_108_438_merged.tif,0.183275,382
chip_236_448_merged.tif,0.183255,383
chip_194_296_merged.tif,0.183175,384
chip_227_293_merged.tif,0.183016,385
chip_125_433_merged.tif,0.182916,386
chip_322_543_merged.tif,0.182657,387
chip_152_240_merged.tif,0.182537,388
chip_315_516_merged.tif,0.182258,389
chip_180_284_merged.tif,0.182219,390
chip_320_544_merged.tif,0.182019,391
chip_111_421_merged.tif,0.181521,392
chip_154_346_merged.tif,0.181262,393
chip_110_429_merged.tif,0.180883,394
chip_234_371_merged.tif,0.180883,395
chip_193_314_merged.tif,0.180843,396
chip_326_499_merged.tif,0.180026,397
chip_223_311_merged.tif,0.179249,398
chip_167_411_merged.tif,0.178910,399
chip_109_416_merged.tif,0.178671,400
chip_114_505_merged.tif,0.178312,401
chip_103_320_merged.tif,0.178272,402
chip_237_472_merged.tif,0.177814,403
chip_276_083_merged.tif,0.177814,404
chip_370_343_merged.tif,0.177734,405
chip_152_478_merged.tif,0.177575,406
chip_366_348_merged.tif,0.177435,407
chip_250_446_merged.tif,0.177316,408
chip_237_289_merged.tif,0.177196,409
chip_311_380_merged.tif,0.176479,410
chip_280_308_merged.tif,0.176180,411
chip_282_562_merged.tif,0.176040,412
chip_220_184_merged.tif,0.175741,413
chip_204_329_merged.tif,0.175702,414
chip_105_427_merged.tif,0.175183,415
chip_242_336_merged.tif,0.175143,416
chip_202_324_merged.tif,0.174845,417
chip_316_543_merged.tif,0.174366,418
chip_302_301_merged.tif,0.174047,419
chip_119_505_merged.tif,0.173290,420
chip_113_420_merged.tif,0.172772,421
chip_279_265_merged.tif,0.171955,422
chip_240_276_merged.tif,0.171935,423
chip_257_265_merged.tif,0.171835,424
chip_267_453_merged.tif,0.171835,425
chip_144_474_merged.tif,0.171735,426
chip_370_342_merged.tif,0.171397,427
chip_274_465_merged.tif,0.171158,428
chip_080_231_merged.tif,0.171138,429
chip_177_265_merged.tif,0.170699,430
chip_275_405_merged.tif,0.170460,431
chip_209_312_merged.tif,0.169882,432
chip_237_598_merged.tif,0.169842,433
chip_317_545_merged.tif,0.169762,434
chip_196_274_merged.tif,0.168806,435
chip_215_310_merged.tif,0.168666,436
chip_284_263_merged.tif,0.168387,437
chip_197_591_merged.tif,0.168347,438
chip_224_439_merged.tif,0.167530,439
chip_105_319_merged.tif,0.166514,440
chip_322_533_merged.tif,0.166394,441
chip_218_306_merged.tif,0.166075,442
chip_220_306_merged.tif,0.165996,443
chip_377_349_merged.tif,0.165776,444
chip_239_283_merged.tif,0.165677,445
chip_231_287_merged.tif,0.164919,446
chip_244_335_merged.tif,0.164900,447
chip_251_259_merged.tif,0.164880,448
chip_314_519_merged.tif,0.164720,449
chip_236_284_merged.tif,0.164601,450
chip_218_423_merged.tif,0.164162,451
chip_366_355_merged.tif,0.164062,452
chip_053_176_merged.tif,0.163206,453
chip_134_316_merged.tif,0.163186,454
chip_217_287_merged.tif,0.163186,455
chip_253_260_merged.tif,0.163086,456
chip_232_596_merged.tif,0.161312,457
chip_215_309_merged.tif,0.161073,458
chip_032_183_merged.tif,0.161013,459
chip_058_191_merged.tif,0.159798,460
chip_252_279_merged.tif,0.159578,461
chip_299_453_merged.tif,0.159518,462
chip_252_264_merged.tif,0.158024,463
chip_351_393_merged.tif,0.157466,464
chip_126_124_merged.tif,0.156868,465
chip_234_444_merged.tif,0.156748,466
chip_196_291_merged.tif,0.155891,467
chip_233_478_merged.tif,0.155014,468
chip_186_265_merged.tif,0.154516,469
chip_253_263_merged.tif,0.154377,470
chip_285_307_merged.tif,0.153101,471
chip_268_410_merged.tif,0.152942,472
chip_194_257_merged.tif,0.152244,473
chip_234_295_merged.tif,0.151826,474
chip_230_302_merged.tif,0.150510,475
chip_214_311_merged.tif,0.148876,476
chip_228_314_merged.tif,0.148756,477
chip_119_126_merged.tif,0.148198,478
chip_251_418_merged.tif,0.147620,479
chip_230_303_merged.tif,0.146943,480
chip_059_190_merged.tif,0.145089,481
chip_250_270_merged.tif,0.144790,482
chip_226_328_merged.tif,0.144770,483
chip_130_159_merged.tif,0.143555,484
chip_282_263_merged.tif,0.140007,485
chip_257_268_merged.tif,0.139908,486
chip_271_267_merged.tif,0.139688,487
chip_239_277_merged.tif,0.139230,488
chip_218_293_merged.tif,0.135802,489
chip_249_270_merged.tif,0.135324,490
chip_232_293_merged.tif,0.134287,491
chip_214_307_merged.tif,0.133749,492
chip_239_281_merged.tif,0.132992,493
chip_230_282_merged.tif,0.127132,494
chip_233_289_merged.tif,0.124263,495
chip_042_092_merged.tif,0.122429,496
chip_213_290_merged.tif,0.121472,497
chip_213_282_merged.tif,0.120117,498
chip_281_270_merged.tif,0.119121,499
chip_064_067_merged.tif,0.097158,500
