chip,complexity,rank,edge_density,spatial_std,entropy,edge_norm,std_norm,entropy_norm
chip_118_448_merged.tif,0.7298,100,0.2474,0.2039,15.5366,0.850,0.620,0.719
chip_202_388_merged.tif,0.7293,101,0.2366,0.2159,15.5288,0.789,0.712,0.686
chip_183_520_merged.tif,0.7276,102,0.2281,0.1975,15.5734,0.741,0.572,0.870
chip_202_439_merged.tif,0.7272,103,0.1956,0.2239,15.5688,0.557,0.773,0.851
chip_151_592_merged.tif,0.7271,104,0.2329,0.1805,15.5979,0.768,0.442,0.971
chip_139_488_merged.tif,0.7270,105,0.2274,0.2106,15.5495,0.737,0.672,0.772
chip_092_320_merged.tif,0.7267,106,0.2475,0.1926,15.5550,0.851,0.534,0.795
chip_136_435_merged.tif,0.7263,107,0.2173,0.2120,15.5603,0.680,0.683,0.816
chip_152_490_merged.tif,0.7262,108,0.2274,0.1955,15.5768,0.737,0.557,0.884
chip_079_220_merged.tif,0.7254,109,0.2214,0.1941,15.5872,0.703,0.546,0.927
chip_107_105_merged.tif,0.7251,110,0.1981,0.2191,15.5727,0.572,0.737,0.867
chip_419_323_merged.tif,0.7241,111,0.2590,0.1755,15.5690,0.916,0.404,0.852
chip_236_595_merged.tif,0.7230,112,0.1983,0.2162,15.5762,0.573,0.715,0.882
chip_147_489_merged.tif,0.7226,113,0.2208,0.2134,15.5504,0.700,0.693,0.775
chip_327_511_merged.tif,0.7217,114,0.1901,0.2093,15.5994,0.526,0.662,0.977
chip_236_367_merged.tif,0.7215,115,0.2071,0.2056,15.5826,0.622,0.634,0.908
chip_182_579_merged.tif,0.7210,116,0.2337,0.1771,15.5986,0.773,0.416,0.974
chip_296_540_merged.tif,0.7202,117,0.1885,0.2163,15.5875,0.517,0.715,0.928
chip_119_505_merged.tif,0.7198,118,0.1733,0.2438,15.5572,0.431,0.925,0.803
chip_317_545_merged.tif,0.7196,119,0.1698,0.2308,15.5859,0.411,0.826,0.922
chip_095_323_merged.tif,0.7190,120,0.2447,0.1949,15.5490,0.835,0.552,0.770
chip_142_427_merged.tif,0.7187,121,0.2362,0.2060,15.5400,0.787,0.637,0.732
chip_091_324_merged.tif,0.7177,122,0.2738,0.1896,15.5178,1.000,0.512,0.641
chip_141_493_merged.tif,0.7173,123,0.2391,0.1971,15.5516,0.803,0.569,0.780
chip_243_452_merged.tif,0.7171,124,0.2276,0.2149,15.5342,0.739,0.704,0.709
chip_254_443_merged.tif,0.7163,125,0.1956,0.2291,15.5513,0.557,0.813,0.779
chip_083_175_merged.tif,0.7157,126,0.2371,0.1874,15.5709,0.792,0.495,0.860
chip_139_491_merged.tif,0.7148,127,0.2297,0.2019,15.5537,0.750,0.605,0.789
chip_202_016_merged.tif,0.7144,128,0.2506,0.1766,15.5714,0.869,0.412,0.862
chip_065_348_merged.tif,0.7143,129,0.2210,0.2187,15.5342,0.701,0.733,0.708
chip_105_103_merged.tif,0.7135,130,0.2338,0.2059,15.5397,0.773,0.636,0.731
chip_039_108_merged.tif,0.7127,131,0.2428,0.1666,15.5993,0.825,0.336,0.977
chip_147_393_merged.tif,0.7118,132,0.2383,0.1907,15.5602,0.799,0.520,0.816
chip_060_117_merged.tif,0.7114,133,0.2291,0.1764,15.5991,0.747,0.411,0.977
chip_225_357_merged.tif,0.7103,134,0.2130,0.2026,15.5719,0.655,0.611,0.864
chip_270_475_merged.tif,0.7099,135,0.2043,0.1983,15.5917,0.606,0.578,0.946
chip_225_371_merged.tif,0.7099,136,0.2031,0.2161,15.5604,0.600,0.713,0.817
chip_236_448_merged.tif,0.7099,137,0.1833,0.2193,15.5816,0.487,0.738,0.904
chip_084_207_merged.tif,0.7098,138,0.2461,0.1926,15.5446,0.843,0.535,0.752
chip_146_489_merged.tif,0.7092,139,0.2146,0.2109,15.5536,0.665,0.674,0.788
chip_131_472_merged.tif,0.7090,140,0.2002,0.2109,15.5734,0.583,0.674,0.870
chip_292_552_merged.tif,0.7090,141,0.2023,0.2061,15.5793,0.595,0.637,0.895
chip_063_116_merged.tif,0.7087,142,0.2393,0.1728,15.5898,0.804,0.384,0.938
chip_124_441_merged.tif,0.7079,143,0.2271,0.1968,15.5616,0.735,0.567,0.822
chip_370_343_merged.tif,0.7078,144,0.1777,0.2279,15.5718,0.456,0.803,0.864
chip_267_566_merged.tif,0.7075,145,0.2006,0.2099,15.5735,0.585,0.666,0.871
chip_152_478_merged.tif,0.7074,146,0.1776,0.2244,15.5783,0.455,0.777,0.890
chip_232_372_merged.tif,0.7071,147,0.1895,0.2163,15.5765,0.523,0.715,0.883
chip_141_491_merged.tif,0.7066,148,0.2277,0.1944,15.5643,0.739,0.548,0.833
chip_200_415_merged.tif,0.7063,149,0.2204,0.2047,15.5551,0.698,0.627,0.795
chip_315_516_merged.tif,0.7060,150,0.1823,0.2124,15.5928,0.482,0.686,0.951
chip_136_471_merged.tif,0.7058,151,0.2512,0.1920,15.5360,0.872,0.530,0.716
chip_141_475_merged.tif,0.7051,152,0.2023,0.2189,15.5529,0.595,0.735,0.786
chip_250_585_merged.tif,0.7042,153,0.2042,0.2089,15.5680,0.606,0.659,0.848
chip_155_483_merged.tif,0.7039,154,0.1995,0.2077,15.5765,0.579,0.649,0.883
chip_224_440_merged.tif,0.7031,155,0.1950,0.2101,15.5776,0.554,0.668,0.888
chip_244_446_merged.tif,0.7015,156,0.2143,0.2038,15.5617,0.663,0.620,0.822
chip_167_437_merged.tif,0.7009,157,0.2085,0.2008,15.5747,0.630,0.597,0.876
chip_166_587_merged.tif,0.7008,158,0.2337,0.1921,15.5561,0.773,0.531,0.799
chip_151_248_merged.tif,0.7007,159,0.2142,0.2065,15.5562,0.662,0.640,0.800
chip_223_491_merged.tif,0.7004,160,0.2483,0.1945,15.5312,0.856,0.549,0.696
chip_329_512_merged.tif,0.6999,161,0.1876,0.2008,15.6027,0.512,0.597,0.991
chip_238_458_merged.tif,0.6993,162,0.2167,0.1867,15.5884,0.676,0.489,0.932
chip_157_480_merged.tif,0.6989,163,0.2294,0.1996,15.5467,0.748,0.588,0.760
chip_123_393_merged.tif,0.6984,164,0.2547,0.1937,15.5226,0.892,0.543,0.661
chip_204_506_merged.tif,0.6981,165,0.2358,0.1871,15.5604,0.785,0.493,0.817
chip_123_434_merged.tif,0.6979,166,0.1972,0.2068,15.5769,0.566,0.643,0.885
chip_191_403_merged.tif,0.6977,167,0.2306,0.2055,15.5333,0.755,0.633,0.705
chip_111_421_merged.tif,0.6976,168,0.1815,0.2341,15.5477,0.477,0.851,0.764
chip_147_486_merged.tif,0.6967,169,0.1935,0.2153,15.5655,0.545,0.707,0.838
chip_333_509_merged.tif,0.6967,170,0.1867,0.2160,15.5734,0.507,0.713,0.870
chip_130_445_merged.tif,0.6961,171,0.2485,0.1922,15.5322,0.857,0.531,0.700
chip_272_450_merged.tif,0.6955,172,0.1857,0.2167,15.5726,0.501,0.718,0.867
chip_032_111_merged.tif,0.6945,173,0.2244,0.1863,15.5749,0.720,0.487,0.877
chip_142_497_merged.tif,0.6941,174,0.2355,0.1923,15.5483,0.783,0.533,0.767
chip_114_505_merged.tif,0.6933,175,0.1783,0.2360,15.5455,0.459,0.865,0.755
chip_379_328_merged.tif,0.6926,176,0.2456,0.1635,15.5866,0.840,0.313,0.925
chip_194_329_merged.tif,0.6919,177,0.1997,0.1913,15.5978,0.580,0.525,0.971
chip_066_347_merged.tif,0.6915,178,0.2411,0.1814,15.5591,0.815,0.449,0.811
chip_097_328_merged.tif,0.6915,179,0.2159,0.1967,15.5652,0.672,0.566,0.837
chip_155_479_merged.tif,0.6915,180,0.1911,0.2116,15.5716,0.532,0.680,0.863
chip_109_416_merged.tif,0.6907,181,0.1787,0.2401,15.5355,0.461,0.897,0.714
chip_163_371_merged.tif,0.6895,182,0.2083,0.2007,15.5668,0.629,0.596,0.843
chip_075_347_merged.tif,0.6892,183,0.2613,0.1962,15.5022,0.929,0.562,0.577
chip_181_413_merged.tif,0.6880,184,0.2194,0.1903,15.5698,0.692,0.517,0.856
chip_147_440_merged.tif,0.6873,185,0.2318,0.1992,15.5358,0.762,0.585,0.715
chip_105_104_merged.tif,0.6865,186,0.2008,0.2190,15.5412,0.586,0.735,0.738
chip_055_200_merged.tif,0.6864,187,0.2384,0.1641,15.5908,0.800,0.317,0.942
chip_332_499_merged.tif,0.6863,188,0.1879,0.2020,15.5900,0.514,0.606,0.939
chip_147_479_merged.tif,0.6855,189,0.2133,0.1945,15.5685,0.657,0.549,0.850
chip_171_586_merged.tif,0.6845,190,0.2206,0.1923,15.5618,0.698,0.532,0.822
chip_322_543_merged.tif,0.6845,191,0.1827,0.2146,15.5727,0.484,0.702,0.867
chip_333_515_merged.tif,0.6841,192,0.2034,0.1923,15.5852,0.601,0.532,0.919
chip_124_433_merged.tif,0.6834,193,0.2006,0.2093,15.5572,0.585,0.662,0.803
chip_146_494_merged.tif,0.6834,194,0.2035,0.2080,15.5555,0.602,0.652,0.797
chip_173_586_merged.tif,0.6821,195,0.2186,0.1847,15.5770,0.687,0.474,0.885
chip_250_589_merged.tif,0.6820,196,0.2049,0.2021,15.5635,0.610,0.607,0.830
chip_094_329_merged.tif,0.6819,197,0.2333,0.1961,15.5355,0.770,0.561,0.714
chip_151_240_merged.tif,0.6816,198,0.1931,0.2007,15.5819,0.543,0.596,0.905
chip_146_495_merged.tif,0.6812,199,0.2118,0.2014,15.5546,0.649,0.602,0.793
chip_139_390_merged.tif,0.6807,200,0.2352,0.1914,15.5408,0.781,0.525,0.736
chip_064_354_merged.tif,0.6798,201,0.2208,0.2104,15.5247,0.700,0.670,0.669
chip_327_516_merged.tif,0.6794,202,0.1946,0.1934,15.5918,0.551,0.541,0.946
chip_206_391_merged.tif,0.6793,203,0.2641,0.2048,15.4753,0.945,0.627,0.466
chip_253_595_merged.tif,0.6788,204,0.1931,0.2121,15.5588,0.543,0.683,0.810
chip_270_477_merged.tif,0.6788,205,0.2169,0.1838,15.5784,0.678,0.468,0.891
chip_201_457_merged.tif,0.6776,206,0.1903,0.2266,15.5351,0.527,0.794,0.712
chip_233_478_merged.tif,0.6770,207,0.1550,0.2291,15.5783,0.327,0.813,0.891
chip_237_598_merged.tif,0.6765,208,0.1698,0.2298,15.5565,0.411,0.818,0.800
chip_159_403_merged.tif,0.6761,209,0.2249,0.2066,15.5234,0.723,0.641,0.664
chip_329_493_merged.tif,0.6753,210,0.2043,0.1867,15.5879,0.607,0.489,0.930
chip_248_445_merged.tif,0.6752,211,0.2341,0.1965,15.5288,0.775,0.564,0.686
chip_234_591_merged.tif,0.6734,212,0.1990,0.2119,15.5472,0.577,0.682,0.762
chip_155_475_merged.tif,0.6725,213,0.1961,0.2331,15.5114,0.560,0.843,0.614
chip_236_450_merged.tif,0.6719,214,0.2153,0.2007,15.5445,0.669,0.596,0.751
chip_117_438_merged.tif,0.6717,215,0.2099,0.1931,15.5658,0.638,0.538,0.839
chip_241_475_merged.tif,0.6699,216,0.2222,0.1973,15.5398,0.708,0.570,0.732
chip_214_429_merged.tif,0.6697,217,0.2084,0.1888,15.5742,0.630,0.506,0.874
chip_093_331_merged.tif,0.6695,218,0.2117,0.1876,15.5718,0.648,0.496,0.864
chip_092_214_merged.tif,0.6694,219,0.2132,0.1743,15.5942,0.657,0.395,0.956
chip_207_334_merged.tif,0.6691,220,0.1966,0.1866,15.5941,0.563,0.489,0.956
chip_010_063_merged.tif,0.6682,221,0.2307,0.2075,15.5081,0.756,0.648,0.601
chip_139_473_merged.tif,0.6678,222,0.2123,0.2105,15.5274,0.652,0.671,0.681
chip_116_447_merged.tif,0.6677,223,0.2310,0.2007,15.5198,0.758,0.596,0.649
chip_109_334_merged.tif,0.6671,224,0.2142,0.1863,15.5692,0.662,0.486,0.853
chip_224_439_merged.tif,0.6671,225,0.1675,0.2168,15.5767,0.398,0.719,0.884
chip_093_213_merged.tif,0.6671,226,0.2140,0.1706,15.5982,0.661,0.367,0.973
chip_215_310_merged.tif,0.6670,227,0.1687,0.2052,15.5966,0.405,0.630,0.966
chip_365_309_merged.tif,0.6664,228,0.2180,0.1763,15.5819,0.684,0.410,0.905
chip_331_495_merged.tif,0.6661,229,0.1964,0.1923,15.5816,0.562,0.532,0.904
chip_341_534_merged.tif,0.6657,230,0.2028,0.2055,15.5482,0.598,0.633,0.766
chip_185_399_merged.tif,0.6654,231,0.2281,0.2044,15.5154,0.741,0.625,0.631
chip_354_327_merged.tif,0.6642,232,0.2207,0.1864,15.5578,0.699,0.487,0.806
chip_325_314_merged.tif,0.6636,233,0.2462,0.1541,15.5821,0.843,0.241,0.906
chip_174_360_merged.tif,0.6636,234,0.2338,0.1985,15.5171,0.774,0.579,0.638
chip_131_429_merged.tif,0.6635,235,0.2307,0.2037,15.5117,0.756,0.619,0.616
chip_314_519_merged.tif,0.6633,236,0.1647,0.2164,15.5785,0.382,0.716,0.891
chip_267_453_merged.tif,0.6629,237,0.1718,0.2157,15.5698,0.423,0.711,0.855
chip_239_336_merged.tif,0.6628,238,0.2094,0.1886,15.5682,0.635,0.504,0.849
chip_185_408_merged.tif,0.6627,239,0.2350,0.1857,15.5383,0.780,0.482,0.726
chip_156_008_merged.tif,0.6627,240,0.2392,0.1945,15.5162,0.804,0.549,0.634
chip_179_603_merged.tif,0.6626,241,0.1979,0.2144,15.5361,0.570,0.701,0.716
chip_222_369_merged.tif,0.6618,242,0.1849,0.2122,15.5575,0.496,0.684,0.805
chip_370_342_merged.tif,0.6616,243,0.1714,0.2182,15.5649,0.420,0.729,0.835
chip_324_316_merged.tif,0.6616,244,0.2341,0.1653,15.5766,0.775,0.326,0.883
chip_396_322_merged.tif,0.6615,245,0.2319,0.1577,15.5935,0.763,0.268,0.953
chip_064_352_merged.tif,0.6611,246,0.2473,0.1968,15.4998,0.850,0.567,0.567
chip_089_360_merged.tif,0.6600,247,0.2026,0.2112,15.5338,0.597,0.676,0.707
chip_214_329_merged.tif,0.6599,248,0.2014,0.1816,15.5901,0.590,0.451,0.939
chip_038_107_merged.tif,0.6598,249,0.2416,0.1703,15.5557,0.818,0.364,0.797
chip_182_606_merged.tif,0.6592,250,0.2188,0.2016,15.5287,0.689,0.603,0.686
chip_268_410_merged.tif,0.6575,251,0.1529,0.2225,15.5792,0.316,0.762,0.894
chip_137_275_merged.tif,0.6566,252,0.1951,0.1797,15.5997,0.554,0.437,0.979
chip_357_370_merged.tif,0.6566,253,0.2031,0.2031,15.5455,0.600,0.615,0.755
chip_125_433_merged.tif,0.6563,254,0.1829,0.2035,15.5723,0.485,0.617,0.866
chip_194_433_merged.tif,0.6560,255,0.1933,0.2213,15.5250,0.544,0.753,0.671
chip_366_348_merged.tif,0.6554,256,0.1774,0.1954,15.5943,0.454,0.555,0.956
chip_115_478_merged.tif,0.6550,257,0.2154,0.1844,15.5621,0.669,0.472,0.824
chip_087_335_merged.tif,0.6544,258,0.2011,0.2009,15.5508,0.588,0.598,0.777
chip_148_478_merged.tif,0.6541,259,0.2283,0.2021,15.5112,0.742,0.607,0.614
chip_183_606_merged.tif,0.6538,260,0.1866,0.2133,15.5473,0.506,0.692,0.763
chip_181_606_merged.tif,0.6535,261,0.1910,0.2103,15.5467,0.531,0.669,0.760
chip_136_276_merged.tif,0.6534,262,0.1948,0.1858,15.5866,0.552,0.483,0.925
chip_322_533_merged.tif,0.6526,263,0.1664,0.2184,15.5647,0.392,0.732,0.834
chip_143_489_merged.tif,0.6526,264,0.2203,0.2006,15.5237,0.697,0.595,0.665
chip_124_479_merged.tif,0.6521,265,0.2168,0.1899,15.5479,0.677,0.514,0.765
chip_252_446_merged.tif,0.6510,266,0.1866,0.2244,15.5248,0.506,0.777,0.670
chip_133_303_merged.tif,0.6501,267,0.2159,0.1649,15.5939,0.672,0.323,0.955
chip_101_342_merged.tif,0.6499,268,0.2227,0.1957,15.5275,0.711,0.558,0.681
chip_125_445_merged.tif,0.6497,269,0.2338,0.1991,15.5058,0.773,0.584,0.591
chip_363_321_merged.tif,0.6496,270,0.2370,0.1675,15.5598,0.791,0.343,0.814
chip_124_123_merged.tif,0.6484,271,0.1917,0.1888,15.5817,0.535,0.506,0.904
chip_234_371_merged.tif,0.6480,272,0.1809,0.2002,15.5752,0.474,0.593,0.878
chip_205_329_merged.tif,0.6471,273,0.2008,0.1791,15.5861,0.587,0.432,0.923
chip_127_445_merged.tif,0.6470,274,0.2367,0.1840,15.5279,0.790,0.469,0.683
chip_320_544_merged.tif,0.6463,275,0.1820,0.2117,15.5511,0.480,0.680,0.778
chip_125_124_merged.tif,0.6463,276,0.2004,0.1773,15.5895,0.584,0.418,0.937
chip_274_465_merged.tif,0.6459,277,0.1712,0.1992,15.5888,0.419,0.585,0.934
chip_246_592_merged.tif,0.6452,278,0.1969,0.2158,15.5222,0.565,0.712,0.659
chip_233_332_merged.tif,0.6451,279,0.1929,0.1786,15.5965,0.542,0.428,0.965
chip_100_341_merged.tif,0.6449,280,0.2134,0.1856,15.5553,0.658,0.481,0.796
chip_326_499_merged.tif,0.6444,281,0.1800,0.1939,15.5854,0.469,0.544,0.920
chip_194_315_merged.tif,0.6429,282,0.1869,0.2089,15.5472,0.508,0.659,0.762
chip_219_333_merged.tif,0.6429,283,0.1974,0.1769,15.5919,0.567,0.415,0.946
chip_224_326_merged.tif,0.6418,284,0.2068,0.1659,15.5985,0.620,0.331,0.974
chip_193_311_merged.tif,0.6416,285,0.2011,0.1752,15.5890,0.588,0.402,0.935
chip_151_418_merged.tif,0.6405,286,0.2240,0.2019,15.5074,0.718,0.606,0.598
chip_308_517_merged.tif,0.6405,287,0.1870,0.1838,15.5916,0.509,0.467,0.945
chip_231_331_merged.tif,0.6403,288,0.1884,0.1868,15.5841,0.516,0.490,0.915
chip_055_202_merged.tif,0.6387,289,0.2356,0.1698,15.5496,0.783,0.361,0.772
chip_123_448_merged.tif,0.6386,290,0.2366,0.1941,15.5032,0.789,0.546,0.581
chip_198_027_merged.tif,0.6376,291,0.2098,0.1651,15.5929,0.637,0.325,0.951
chip_220_306_merged.tif,0.6373,292,0.1660,0.1950,15.5974,0.390,0.553,0.970
chip_131_477_merged.tif,0.6355,293,0.2192,0.1960,15.5213,0.691,0.560,0.655
chip_311_380_merged.tif,0.6354,294,0.1765,0.1981,15.5759,0.449,0.577,0.881
chip_113_329_merged.tif,0.6353,295,0.1908,0.2027,15.5478,0.530,0.611,0.765
chip_193_583_merged.tif,0.6346,296,0.2234,0.1671,15.5683,0.714,0.340,0.849
